x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.011020269883949024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.028096496744707163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02432499135964907,0.03319359063087257,0.017402700657324424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018870158642888993,0.028521347191075474,0.04413435907394453,0.01867432167439041,0.0,0.0,0.0,0.0,0.0,0.0,0.02714153417091887,0.04923172742173418,0.045633398309161195,0.04047371563565098,0.01807141810014655,0.011991899146889877,0.02186256366003916,0.01928122268545528,0.0,0.0,0.0,0.010314151738203851,0.011625589807229822,0.029178106389259856,0.023190101628300503,0.01522715058231055,0.0,0.0
0.041307842127714794,0.050301821705602365,0.12065966226679013,0.03851169380297919,0.0,0.013663968000380226,0.030528967392990908,0.025869174006163027,0.025266974557239513,0.03907526493750856,0.06733546630535794,0.13657032528119623,0.15559029823057,0.1271991685225707,0.04813168854498356,0.039849891054914155,0.05774393596316401,0.055553458881388997,0.014785343542117992,0.026074669815709217,0.029007688853368217,0.03724276461984222,0.03860815651222929,0.10851524811226479,0.09458807712278995,0.06664705891117703,0.0,0.0
0.08861828106581113,0.1287745521945982,0.22603235301327904,0.1419619676649649,0.029537513327719728,0.04397160208713026,0.07660819752812802,0.0642316055807731,0.07583497752036367,0.1048410823699437,0.21787114258979717,0.28687103385918805,0.3428727531886277,0.30108424272053247,0.17483079791974726,0.1639260227043442,0.20648538670929928,0.21205487920983382,0.04763753118446317,0.08998391948723022,0.12187632258257608,0.16240829558464737,0.17731071989452615,0.293144612566613,0.2849123665100427,0.25121991540836547,0.021556943157478265,0.0
0.12740812825962586,0.22023504994200527,0.2972944026317508,0.3011253313802792,0.0770621910175118,0.10955380657399029,0.2122783862640516,0.2396678824388737,0.20284666469344845,0.24342818752984557,0.40643222746163254,0.43681216798947975,0.5196235662339985,0.4612806245116187,0.3417185397001985,0.3575037964085037,0.39886851961682296,0.3942747991483757,0.17807367767082122,0.26437042160592,0.3026470162236317,0.3550630593334893,0.3729604037894069,0.4805788692991121,0.4806442127433525,0.46371520946873684,0.10625581220084332,0.04349472540033946
0.19877804710007674,0.320204989137662,0.3668368439824627,0.46578037506436293,0.14599097266334668,0.22505744722629026,0.42590162659676883,0.43781509282577946,0.28166404029765685,0.4338937786376476,0.5648096084101761,0.6486122671969713,0.6544400714141136,0.6149009562805497,0.5169828629022087,0.5599589825603655,0.575728106063222,0.5736717053828737,0.3397532955357182,0.4780237331540822,0.5000032283588407,0.5486310490285732,0.573289821531476,0.6507353040659292,0.6534049694187145,0.6633661365878895,0.29536969117894446,0.15271048721657712
0.2513332580234042,0.45839886736067054,0.403171983495381,0.5533341655827134,0.2748688580741938,0.377947999410762,0.5856268738408368,0.6130743751723619,0.4106894842990033,0.5790234857255103,0.7156822108560669,0.6936727572309063,0.6881450622990617,0.7133110106316185,0.691012789596541,0.7366320740018157,0.7352245002646397,0.7283683665750184,0.4896028785029391,0.671160176090892,0.6738256722685388,0.7285372052673729,0.7466660821040195,0.7707282957673126,0.7769372780189902,0.8151197110269406,0.4906175761361162,0.29542435183759924
