x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.011465886000260437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017647479234041745,0.011149362129336541,0.027952168764436312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021289441482859005,0.02423484599786914,0.01707027803754034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029240067964791408,0.031597363849234006,0.04643868662626583,0.022561513574281815,0.0,0.0,0.0,0.0,0.0,0.0,0.03078711033118825,0.0419384577229504,0.05084455653783624,0.03969286687726084,0.01725340314628551,0.0,0.02171819008747798,0.01873489117852194,0.0,0.0,0.0,0.0,0.0,0.025303395118525605,0.025665537767101114,0.015778604936998123,0.0,0.0
0.06299987440081695,0.0681168573872525,0.14262960780872916,0.061791251712228115,0.0,0.016194589486306504,0.027702962110895596,0.016867801891224405,0.016718161232236375,0.033413501831801286,0.07474978315561671,0.13462397150621358,0.12993574011450013,0.12354792761185278,0.05171183521180313,0.04073655214366471,0.06853601351038391,0.06795772855182831,0.012674232347258946,0.015960699586807514,0.03134616347280219,0.02980679101490977,0.04404557877256316,0.08454975471994132,0.09806414705290926,0.06704987456756574,0.0,0.0
0.1938120714609164,0.187157129495066,0.2936371225288506,0.13821220080133678,0.025365044824458376,0.04327279282260797,0.06503202448479851,0.040769907271447546,0.06057960995802913,0.0767552028450773,0.2024533099169091,0.2852406673895873,0.21451067051815767,0.2992051684618528,0.15899292061486212,0.11533254461554956,0.2111535025400757,0.18444350722099548,0.0436442158273898,0.0569790795107121,0.11163418104367831,0.05162707077745373,0.11286712869151101,0.21147231382643877,0.2742201599025212,0.24981561269893032,0.022361290281089206,0.013061864069629685
0.3661392947236314,0.31882059901868076,0.4342638436398465,0.2640198596601187,0.04914502347996774,0.1374458148522695,0.1498921615902735,0.1609769026485504,0.18119599915923873,0.1219738778175912,0.3562003622393876,0.3412141489922701,0.2516939305224352,0.44891372054576545,0.24231588967742962,0.11981428286732686,0.36309782125147855,0.313021809893907,0.13074808850278205,0.12573160890720203,0.26487405561736876,0.05938514169252255,0.21669871661978848,0.3831136354646055,0.44376654423073975,0.46119245565670736,0.10217675558029478,0.05445271831055979
0.5432414454138323,0.47428513896693897,0.5174959571857387,0.4336773082488751,0.08838957268159073,0.27718207617148416,0.2701029624477983,0.24573350427247181,0.17284296791070836,0.20295124651448054,0.5121079803645493,0.4551711610524674,0.3443127554082484,0.5586039980487982,0.3341771607552997,0.1652190737832866,0.5195546285351185,0.4458220992927718,0.2288555602483724,0.2583021671732696,0.4451673036732372,0.11557815917171789,0.3377540976072393,0.5309907611078295,0.6162435349313881,0.6609121088579317,0.29982853930832093,0.24570431695461872
0.6756283791445196,0.5917427436012606,0.5752713819723818,0.5707933773916325,0.09235636095274519,0.43668833656476835,0.383309790701486,0.4887309316225531,0.42948305981321483,0.29601819222604014,0.641856190848989,0.5729361451516652,0.41740802657549025,0.6487592082570472,0.38338476829594587,0.1912362888527499,0.6382242887594356,0.5212950075431735,0.34366527329642316,0.42304154618709017,0.6019753631026168,0.16022520100302767,0.4547945169272569,0.6295891440512145,0.7393267464284188,0.8152330920302396,0.5139854640550301,0.4668272981865699
