Load_NO,Load_SE,Load_FI,Load_DK,Load_IE,Load_UK,Load_NL,Load_BE,Load_LU,Load_DE,Load_PL,Load_LV,Load_EE,Load_LT,Load_CZ,Load_AT,Load_SK,Load_HU,Load_FR,Load_CH,Load_IT,Load_SI,Load_HR,Load_RO,Load_BG,Load_GR,Load_ES,Load_PT
11442,11477,7497,3065,3101,20213,11410,8167,466.25,44767.75,16183,519,698,1006,5803,5651.25,2384,4398.75,40910,6036,30386,1273,1717,5130.25,3208,4424,25533,5544
11188,11373,7319,2963,2878.5,19535,10919.25,7837,448.5,43535.5,15671,508,677,979,5795,5367.75,2282,4194.25,39017,6049,28800,1264,1593,5039.75,3107,4266,24363,5190
11091,11233,7361,2865,2749,19111,10601.75,7726.5,437.5,43036.5,15391,500,671,974,5655,5263,2233,4028.75,37777,6776,27785,1213,1532,5011.5,3083,4194,23469,4957
11040,11288,7500,2862,2660.5,18652.5,10418.25,7778.25,438,42791.75,15380,510,673,988,5598,5187,2250,3972.5,35970,6898,27229,1210,1519,4970,3060,4170,22968,4790
11015,11462,7695,2891,2621,18820,10419.5,7792.25,449.75,44021.25,15579,550,713,1051,5693,5297.75,2307,4082,35365,6849,27243,1214,1528,5166.5,3170,4246,22841,4730
11208,11837,8111,3060,2626.5,20013,10688.75,8097.75,473,47639.5,16233,647,807,1248,6136,5858.25,2447,4365.25,36866,6692,28637,1296,1635,5468.5,3445,4499,23091,4634
12095,13140,8495,3525,2698,23423.5,11616,8845,533.25,54476,18330,756,912,1420,7083,6963.5,2810,4852.25,40890,6899,32206,1547,1868,6003.25,3739,4807,24848,4627
13205,14195,8559,3958,2956.5,26751.5,12977.75,9473.25,574.5,59409.75,20203,839,948,1543,7543,7631.75,2986,5057.75,44131,7216,36168,1685,2108,6366.25,4029,5259,27141,4893
13567,14360,8529,4210,3456,28095,13798,9804,609.5,62373.75,21057,864,900,1557,7755,8024,3092,4921.75,46109,7437,40355,1661,2257,6472.5,4100,5551,28140,5258
13285,14199,8405,4311,3828,28320,13682.5,10063,639.25,63639.5,21128,847,874,1506,7886,8108,3131,4784,47568,7514,42507,1665,2332,6386.25,4026,5682,29168,6067
13151,14250,8471,4520,3937.5,27813,12850,10145.5,655.75,64596.25,20559,826,938,1471,7845,8285.25,3098,4674.25,48344,7484,42962,1767,2343,6314,4033,5823,29683,6423
13119,14057,8555,4394,3918.5,28117,11799,10124.75,666,66091.5,20733,803,982,1453,7957,8480.75,3144,4623,49227,7749,42733,1822,2439,6301,3975,5948,30227,6576
13140,14104,8457,4335,3934,28057,10766.75,9872,660.25,64883.5,20968,819,987,1457,8002,8466.75,3189,4725.5,49933,8137,40436,1923,2485,6435.5,4037,5963,30592,6794
13151,13969,8406,4392,3942.5,28049,10191.25,9800.5,644,63806,20870,815,978,1425,7939,8584.5,3176,4834.25,48978,7891,40196,1900,2462,6367.5,4037,5774,31004,6701
13135,13950,8329,4345,4193,27907,9951,9903.75,635,63183.75,20807,799,927,1383,7845,8480.75,3124,5058.75,48027,8936,40886,1800,2402,6315.25,4055,5503,30790,6599
13118,14090,8318,4217,3879,28243.5,10365.25,9846.5,622,62133,21269,784,890,1305,7773,8222.75,3076,5310.75,47106,8928,41100,1673,2350,6372,4061,5379,30281,6750
13069,14000,8264,4197,3933,29472.5,11410.75,9855.25,613,60761.25,21266,765,894,1261,7672,7908,3062,5461.5,46147,8794,42438,1598,2301,6399.75,4055,5437,30161,6731
12945,14051,8228,4381,3979.5,30413.5,12500.75,9987.75,611,60685.75,21027,767,902,1297,7593,7734.75,3014,5426.75,45697,8788,41568,1601,2259,6374,4133,5634,30220,6695
12934,14299,8264,4201,4075.5,30412,12989,10190,610.5,59698,21141,767,900,1342,7387,7672.75,3002,5425.25,47000,8305,40112,1649,2271,6447.25,4237,5831,30088,6553
12967,14152,8453,3988,4026.5,30168,13347,10033.5,601,59054.25,21933,793,919,1394,7455,7638.25,3084,5571.75,47501,7359,40812,1707,2414,6911.25,4350,6144,30072,6517
13107,13747,8416,3879,3882,29647.5,13671.25,9942.75,590.5,58219,22128,773,904,1356,7367,7290.5,3042,5461.5,46447,7199,40481,1695,2465,6683.25,4102,5794,30529,6695
12971,13098,8429,3670,3898.5,27151,13108.5,9306.75,560.25,54895,20482,702,836,1222,6928,6691.5,2815,5105.5,44600,6840,37567,1561,2296,6120.25,3858,5311,30962,6919
12576,12647,8183,3572,3805.5,24502.5,12363.75,9034,518.25,51006.5,18851,620,749,1093,6481,6378.25,2624,4824,43984,6623,34735,1449,2149,5686.25,3694,5128,28589,6547
12088,12249,7830,3433,3463,21815.5,11841.75,8558.25,488.25,47005.75,17627,558,715,1033,6070,5928.25,2479,4640,43524,6931,32226,1347,1904,5351.25,3285,4805,26431,6130
11528,11866,7513,3203,3142.5,20341.5,11193.5,8071.25,464,44906,16628,525,693,991,5837,5689.5,2381,4375.25,40070,7239,30075,1241,1699,5157.25,3081,4523,25402,5644
11438,11836,7440,3124,2911.75,19335.5,10598.5,7821.25,448,43755.25,16011,509,686,971,5852,5409.25,2276,4168,38295,7307,28562,1221,1598,5068,2979,4365,24227,5243
11334,11440,7466,3091,2799,18716,10303.75,7589.5,438.5,42854,15747,507,684,961,5717,5319.5,2221,4023.5,37082,7647,27575,1180,1534,5021,2943,4274,23399,5014
11279,11272,7531,3058,2709,18341,10205.5,7493.5,437.5,41967,15741,515,691,968,5567,5215.5,2232,4013.75,35411,7521,27200,1197,1508,5032,2960,4226,22864,4841
11203,11392,7785,3049,2671,18213,10214.75,7492.5,445.75,42742,16100,551,723,1027,5688,5341.75,2293,4068.5,34904,7284,27282,1208,1522,5161,3078,4312,22715,4754
11253,11946,8238,3220,2665.5,19325.5,10426.25,7834.5,469.5,45967.5,16632,641,807,1238,6119,5914.5,2439,4332,36562,7260,28437,1305,1613,5555.5,3339,4574,23083,4629
12007,12958,8622,3706,2742,22817.5,11097.25,8602.75,528.25,52702,18714,753,921,1400,7013,6902.25,2764,4826,40504,7105,31931,1556,1866,6188.75,3573,4842,25010,4618
12963,14190,8799,4123,2966,26390,11918,9273.25,570.25,57039.25,20594,838,968,1524,7450,7560.25,2975,5073.25,44029,6518,35644,1705,2100,6584,3765,5350,27463,4883
13233,14610,8773,4349,3442.5,27604,12135.75,9761.5,612,59925.25,21575,855,920,1567,7664,7947.75,3095,5020,44029,7047,39977,1722,2247,6757.25,3670,5680,28374,5274
13223,14832,8690,4415,3796,28401.5,11897.25,10021.25,633.5,60816.25,21792,839,862,1528,7772,8102.5,3136,4880,46334,7436,41511,1703,2303,6788.25,3526,5882,29546,6092
13110,14762,8629,4438,3894,27811.5,11996.75,10019.5,649.75,61947.75,21572,820,856,1518,7738,8291,3078,4693.25,47826,7489,41789,1724,2327,6783.75,3459,6030,30451,6450
13214,14706,8622,4413,3902,27104,12161.75,10196.75,660.25,62789.25,21897,791,847,1506,7834,8474.75,3087,4654.5,49041,7633,42231,1745,2396,6819.5,3391,6109,31230,6524
13114,14369,8545,4287,3898.5,26179,11730.5,9979.75,652.5,62441.25,21948,800,857,1445,7856,8204.25,3120,4639.75,49902,7760,40154,1769,2429,6871.75,3433,6122,31747,6630
13051,14127,8520,4217,3904.5,25269,11621.25,9902.25,638.5,60682.75,21787,790,818,1362,7751,8007,3071,4632.25,48445,7318,39828,1725,2401,6768,3442,5969,32171,6555
13116,13939,8449,4063,3881.5,24718,11351.5,9503,624,59331.75,21385,777,804,1326,7490,7944.75,2988,4653.5,47396,7358,40729,1658,2334,6677,3549,5716,31669,6424
12971,13728,8368,3922,3819.5,25010,11340.25,9336,614.25,58380.75,21396,764,795,1310,7477,7906.5,2933,4838.25,46056,7496,40882,1627,2274,6680,3683,5598,30942,6532
13012,13698,8362,3903,3832,26523.5,11460.25,9330.25,597.75,57748.5,21204,750,818,1309,7378,7837.5,2916,5054,44525,7477,41061,1541,2261,6658.25,3797,5662,30822,6532
12924,13782,8277,4057,3849.5,27933,12341.5,9546.25,598.75,57585.5,21102,756,878,1331,7271,7766,2842,5152.5,44311,7025,40053,1571,2256,6623.5,3967,5819,30901,6516
12857,13696,8332,3958,3922,28327,12753,9574.75,599,57004,20801,758,873,1353,7031,7657.25,2849,5209.5,45218,6852,39193,1582,2264,6684,4071,5943,30815,6445
12771,13629,8466,3737,3913,28675,12898.75,9390.5,588,55978,21477,788,890,1387,7093,7532.25,2950,5340.75,45432,6759,39717,1668,2380,7026.5,4123,6250,30140,6446
12518,13375,8274,3593,3788.5,28112,12973.25,9179,582.75,55093,21436,767,871,1330,6936,7097.75,2908,5279.5,45115,6734,39460,1656,2433,6751.25,3877,5917,30416,6598
12507,12667,8237,3388,3771.5,26268.5,12411,8939.5,547,51676.5,20039,695,812,1220,6421,6461.25,2710,4991,43585,6571,36559,1512,2261,6165.25,3654,5423,30612,6814
11983,12145,8026,3192,3664.5,23763,11759,8468.5,508.5,47938.25,18552,633,741,1112,5952,6185,2502,4750,43456,6225,33699,1416,2132,5677.25,3522,5283,28226,6476
11566,12067,7723,3007,3377.5,21303.5,11291.25,8042,481.75,44511.25,17249,570,714,1043,5596,5695.5,2374,4585.25,43077,6118,31315,1306,1930,5374.25,3265,4927,26270,5999
11341,11698,7459,2889,3138.5,19731.5,10712.75,7593.25,458.25,42221,16282,539,685,997,5224,5427.25,2247,4290.25,39793,6051,29333,1215,1735,5184.5,3116,4722,25181,5528
11192,11391,7422,2809,2930,18872,10348,7323.25,439.25,40715,15731,519,673,970,5072,5107,2172,4079.75,37748,5641,27600,1145,1611,5050.75,3018,4545,23977,5164
11120,11332,7380,2745,2810.5,18124,10091,7104.25,427,39476.75,15382,512,662,955,5038,4984.25,2109,3918.75,36144,5560,26623,1120,1543,5001,2954,4405,22966,4909
11061,11667,7413,2706,2716,17620.5,9920.25,6915.5,424,38918.25,15317,514,663,948,5030,4836.5,2107,3885.25,34163,5689,26022,1119,1513,4977.5,2934,4370,22396,4692
11123,11716,7511,2677,2651.5,17485.5,9842.5,6855.25,423,39100.75,15303,531,676,964,5029,4841,2101,3889,33092,5593,25758,1105,1505,5038.5,2983,4360,21910,4572
11144,11629,7621,2701,2626.5,17969.5,9828,6921.75,432.75,39735.75,15235,545,686,1018,5058,5080.25,2097,3927.5,33334,5630,26141,1122,1551,5070.25,3081,4448,21615,4479
11210,11651,7614,2792,2646,19367.5,10150,7116.75,453.5,41376.5,15679,594,726,1105,5225,5459.25,2171,4045.75,34637,5568,27322,1225,1663,5313,3246,4554,22105,4502
11410,11832,7828,2983,2756.5,21243,10500,7416.75,459.75,43425.75,16833,666,745,1222,5581,5814,2324,4257,35523,5357,28667,1318,1823,5784.5,3452,4968,22697,4580
11952,12383,7890,3244,2911,23315,10769,7894.5,489.75,46711.5,18092,703,738,1302,6014,6150.25,2518,4420.75,37557,5308,31226,1353,1989,6055.75,3510,5380,23215,4613
12466,12821,7868,3397,3237,24026,10846.25,8364.75,518,49282.25,19097,704,712,1305,6342,6372,2653,4489.25,40094,5510,32740,1361,2069,6185.25,3450,5688,24938,4936
12748,13126,7782,3532,3480.5,23648.5,10549,8485.5,534.75,51085.25,19568,698,704,1270,6557,6500.5,2725,4397.75,41428,5732,32648,1302,2100,6093.75,3389,5923,26346,5195
12721,12856,7830,3567,3566,23785,10064,8555.25,549.25,51935,19686,680,693,1218,6707,6592.75,2784,4218,42571,5888,32301,1267,2129,6100,3332,6171,27092,5351
12444,12881,7797,3569,3577.5,23708,9584,8484.75,551.25,51491.5,19797,670,677,1221,6588,6456.75,2723,4141.75,44856,6043,31905,1269,2144,6094.5,3321,6259,27509,5449
12327,12801,7733,3584,3575,23024,9026.75,8537.75,538.5,50393,19212,667,635,1220,6485,6336.75,2657,3962,43265,6198,30997,1217,2104,6022.25,3333,6099,28064,5524
12251,12699,7751,3537,3523.5,22725.5,8531.75,8387,523.25,48992.75,18665,668,606,1205,6327,6221.25,2557,4023.5,41535,6656,31131,1179,2021,5988.75,3342,5827,27898,5362
12258,12737,7811,3434,3433.5,22715,8543,8616.25,512.25,47906.25,18662,670,663,1204,6251,6235.25,2491,4091.5,40452,7247,31149,1178,1971,5991,3473,5698,27298,5270
12323,12882,7951,3463,3406,24052,9115.75,8787.5,507.5,47416,18190,676,733,1213,6117,6229.75,2473,4282,39474,7012,31718,1211,1967,6037.25,3663,5732,26973,5247
12330,12982,8045,3623,3429.5,25902,10119,8781.75,515,48196,18404,687,802,1221,5922,6302,2453,4397.5,39519,6663,32337,1278,1983,6028,3822,5780,27055,5216
12394,12863,8057,3604,3549,26876,11096,8837.25,522.25,48735.5,18406,690,824,1245,5900,6281.25,2461,4543.75,40593,6000,32838,1379,2028,6184.75,3938,5865,27260,5311
12361,12880,8257,3391,3603,27233.5,11646.25,8700.75,520.25,48309.75,19073,724,850,1266,6040,6272.5,2557,4792.5,41659,5983,34237,1458,2151,6496.75,3995,6094,27310,5459
12321,12775,8010,3313,3528.5,26802,11963.25,8651.75,524,47710,18921,699,835,1226,6013,6089.5,2552,4762.75,41821,5983,34311,1441,2207,6290.25,3750,5845,27729,5583
12130,12328,8025,3178,3520.5,25349.5,11636.75,8400.25,498.25,44693,17852,644,780,1145,5732,5644.25,2402,4499,40842,5908,31831,1237,2047,5759.25,3578,5484,28462,5863
11905,12066,7814,3008,3402,23490,11197,8246.25,473.25,42365,16609,577,722,1069,5462,5492.75,2256,4236.75,41058,5634,29662,1194,1955,5228,3529,5183,26529,5550
11612,11707,7467,2840,3161.5,21294.5,10744,7916.25,449.25,39970.75,15515,534,691,1010,5171,5081,2146,4002,41350,5649,27925,1093,1771,4980,3341,4922,24874,5349
11358,11509,7184,2731,2976.5,19698.5,10371.5,7578.25,429.25,37759.75,14401,518,664,957,4892,4849.25,2048,3741.75,38405,5345,26015,1047,1587,4765.25,3139,4641,23644,5012
11166,11309,7011,2652,2814.5,18887.5,10075.5,7258,413.5,36071.5,13761,501,654,933,4784,4573.5,1944,3581,36399,5194,24690,1024,1471,4649.75,3073,4468,22478,4713
11020,11037,6958,2606,2702,18078.5,9827.5,7109,402.75,34902.25,13402,491,649,917,4795,4510.25,1917,3484.75,34927,5457,23629,982,1406,4595,2995,4343,21434,4478
10977,10887,6925,2565,2611,17537.5,9696.75,6967,401,34900,13276,487,656,912,4754,4410.5,1899,3428.5,32970,5420,23098,977,1377,4582.5,2978,4277,20689,4303
11065,10939,7050,2552,2558,17258,9596.5,6907.5,398.75,34602.75,13157,503,667,932,4725,4377.75,1915,3456.75,31896,5397,23026,988,1378,4591.25,3013,4246,20374,4189
11046,11038,7069,2584,2548.5,17573.5,9597.75,6955,404,35116.5,13174,513,672,973,4742,4508.25,1935,3499.25,31949,6105,23314,1016,1421,4522.5,3073,4285,20208,4059
11094,10961,7085,2658,2571,18195.5,9702.5,7109.5,416.75,35986.75,13191,550,694,1025,4793,4747.75,2003,3560.25,32661,5620,23659,1029,1473,4602.75,3218,4280,20468,4049
11227,11207,7313,2818,2623.5,19458.5,9697.75,7240,416,37524.75,13796,614,697,1119,5087,5047,2151,3707.25,32853,5285,23962,1086,1578,4845,3527,4535,20618,4102
11499,11620,7408,3093,2721,21130.5,9322.25,7645.75,435.25,40404.75,14891,661,687,1195,5534,5422.75,2361,3805.5,34310,5192,25666,1156,1727,4969.5,3741,4833,20673,4089
11880,12171,7514,3301,2925.5,22340.5,8786.25,8089.75,458.75,43494.25,15980,678,671,1234,5982,5873.5,2545,3823,36858,5014,27092,1197,1854,5027.25,3794,5131,22116,4340
12021,12453,7631,3384,3155,22395.5,8324.75,8255,485,45708.5,16451,675,641,1243,6339,6201.5,2645,3848.5,38948,5199,27870,1190,1956,5027,3776,5350,23537,4572
12074,12679,7573,3467,3348.5,22657,7968.75,8434.5,507.25,47606,16761,663,618,1254,6529,6438.5,2705,3891,40647,5601,27795,1170,2020,5070.25,3761,5557,24330,4849
12051,12480,7479,3476,3498.5,22440,7674.25,8427,511.75,47487.5,16709,665,633,1256,6390,6236.5,2610,3897.5,43146,6004,27604,1178,1999,5116.75,3718,5648,25116,5067
12117,12551,7438,3552,3614.5,21994.5,7405.25,8092.5,489,45813.5,16496,670,644,1244,6308,5940,2501,3962.25,41720,6943,26571,1124,1912,5074.25,3682,5471,26171,5197
12196,12470,7443,3590,3645,21893,7214.75,7908,472.5,44531.25,16185,674,685,1246,6199,5753.75,2422,3978,39817,7632,26360,1115,1824,5102.25,3699,5298,26592,5010
12166,12211,7470,3509,3583.5,22727.5,7457.25,7885.25,463.75,43800.25,15852,687,716,1256,6177,5611.25,2370,3960.5,38717,7633,26708,1148,1781,5188.75,3750,5318,25919,4856
12125,12318,7499,3518,3506.5,24639,8236.25,7873.25,460.25,43613.5,15773,694,777,1264,6141,5547.5,2374,4139.25,37863,7610,27550,1152,1786,5268,3831,5391,25786,4856
12067,12641,7646,3708,3537.5,26392,9704.25,8061.5,465.25,44391.25,16003,707,823,1281,6003,5774.5,2360,4249.75,38185,6437,28424,1173,1819,5338.75,3927,5549,25914,4885
12144,12951,7726,3709,3670,27782,10950.5,8320.5,479.5,46002.25,16574,716,829,1285,6124,6051,2424,4448.5,39935,5891,29247,1248,1860,5552,4048,5634,26131,4996
12284,13170,7918,3540,3696.5,28077,11741.25,8483,481.5,46614,17663,758,869,1331,6396,6230.5,2546,4768.5,41549,5679,30999,1391,2015,5978.75,4104,5936,26200,5208
12519,13091,7743,3477,3630,26985.5,12164.5,8703.25,493,47120.5,17907,720,848,1259,6443,6071.75,2541,4754,42128,5810,31866,1442,2099,5821.25,3890,5902,27250,5474
12393,12707,7860,3316,3643,24577.5,11798.5,8405.25,480.25,45207.25,16809,643,781,1144,6164,5697.25,2380,4464.5,41116,5860,30388,1377,1990,5362,3693,5548,28337,5747
12136,12294,7733,3144,3489.5,21977,11423.75,8122.5,458.25,43471.25,15905,577,710,1036,6055,5625.5,2258,4171.25,40783,5602,28585,1277,1907,5014.25,3528,5270,27204,5521
11693,11809,7345,2987,3179,19504,10868.25,7757.5,434,40846.75,14923,533,672,965,5714,5295.25,2142,3898.75,40689,5514,26619,1165,1720,4777.5,3282,4783,25580,5306
11391,11582,7061,2881,2920.5,18013,10402.5,7417.5,415,38542.5,14064,501,654,924,5476,5142.75,2069,3671.75,37868,5716,24594,1082,1517,4612,3065,4500,24208,4997
11155,11293,6929,2784,2758,17400,9984.25,7102.75,399,37681.25,13674,495,658,897,5492,4927.25,1986,3562,36091,5950,23485,1066,1413,4516.5,2991,4332,23147,4746
11044,11184,6949,2735,2657,16977,9699.75,7081.25,392.75,36924,13586,485,660,898,5343,4902.5,1949,3472.5,34957,6358,23002,1064,1363,4477,2941,4214,22263,4539
10896,11196,7072,2717,2585,16821,9584,7029.25,393.75,37214,13519,498,669,917,5267,4833,1964,3474.25,33356,6250,22739,1036,1357,4517.5,2943,4179,21838,4414
11011,11464,7359,2756,2545.5,17036,9658,7130,406.25,38286.25,13807,531,700,989,5396,4973.25,2037,3622,33085,6032,23032,1086,1385,4660.25,3085,4197,21650,4348
11201,12255,7938,2983,2549,18516,9972.25,7503,437.5,42316.5,14780,630,793,1195,5884,5622.5,2219,3964,35344,6117,24861,1173,1491,5176,3413,4516,22202,4285
11826,13752,8451,3478,2624,22057,10880,8407.5,505.5,50215.25,17507,733,909,1350,6888,6801,2626,4547.25,39722,5646,29224,1456,1758,5871.75,3687,4918,24954,4296
12749,15114,8693,3926,2876.5,25535,11906,9111.25,556.5,54894.25,19717,835,978,1465,7408,7573,2827,4714.5,43224,6187,33354,1612,1993,6311.5,4005,5373,27962,4646
13159,15295,8661,4147,3366,27149,12297.25,9563.5,599.5,57787.5,20930,883,1000,1504,7668,7800.25,2949,4578,45492,6850,37833,1606,2128,6567.75,4079,5597,29337,5100
13197,14960,8568,4225,3748.5,27955.5,11443.75,9920.5,615.75,59122,21111,888,991,1498,7819,7717.25,3000,4369,47040,7147,39277,1571,2165,6553.25,4050,5780,30690,5921
13179,14281,8526,4355,3875,27190,10095.25,10037,630.75,59853.75,20789,875,1011,1492,7745,7708.75,2952,4256.25,48314,7070,38987,1554,2143,6445.5,4027,5912,31696,6322
13113,14396,8432,4374,3908,26835.5,8999,10086,646,60545.25,20864,851,1036,1476,7828,7774.25,2981,4322.75,49392,7126,38885,1571,2216,6441.5,3975,5969,32408,6474
13145,14399,8338,4327,3931.5,27294,8295,9884.75,649.5,60300.5,21080,866,1069,1484,7888,7540.25,3020,4560,50753,7325,37464,1566,2238,6529.5,4022,6029,33047,6806
13251,14096,8299,4352,3971.5,27611.5,8296.25,9703.25,640.5,59856.5,21164,860,1032,1446,7793,7437.75,2974,4640.25,50308,7244,37649,1547,2195,6420,3999,5844,33547,6710
13362,13881,8131,4318,3976,27836,8540,9675,627.25,58321,20686,850,1039,1429,7610,7334.5,2929,4706.5,49791,7584,39015,1480,2144,6385.75,3990,5588,33751,6630
13245,13884,8132,4197,3925,28160.5,9125.25,9522.5,615.25,57137.5,21098,828,1002,1384,7518,7278.75,2874,4731.5,48918,7765,39789,1471,2099,6295,3975,5449,33051,6793
13148,13978,8117,4144,3914,29437.5,10229.75,9702,602.5,55866.75,20994,804,966,1362,7413,7312.75,2854,4789,47910,7360,40286,1452,2077,6354.5,3937,5476,33000,6746
13320,14016,8041,4337,3954,30459.5,11652.25,9860,599.25,56449.25,20836,807,940,1386,7312,7465.25,2819,4917.5,47358,6767,39689,1502,2105,6384.25,4035,5648,32788,6702
12875,13902,8152,4258,4064,30526.5,12606.5,9781.75,603.25,56590.25,20867,798,911,1397,7209,7552,2834,5072.75,48219,6741,38955,1560,2126,6549,4189,5836,32173,6572
12692,13662,8364,4047,4020.5,30709.5,13256,9470,604.5,57405.75,21978,820,935,1434,7423,7638,2995,5331,48944,6884,39753,1652,2288,6902,4261,6205,31950,6470
12697,12939,8102,3901,3871.5,29686.5,13541,9725.25,592,57239.5,22014,780,897,1352,7296,7252.25,2954,5221,47854,6798,39519,1679,2340,6593,4009,5861,32792,6657
12598,12324,8010,3685,3893.5,27189,13004,9288.25,547.5,53775.5,20325,698,827,1200,6850,6655.75,2726,4884.25,45587,6688,36536,1539,2168,5953.75,3782,5355,32665,6851
12250,11644,7779,3397,3748.5,24558,12358.5,8835.75,507.5,49851.5,18742,629,748,1078,6444,6296.25,2534,4598.75,44793,6375,33162,1433,2031,5444.25,3566,5125,29740,6418
11702,11096,7352,3154,3382,21842.5,11751,8313.25,476.5,46323.75,17365,565,705,1012,6038,5824.25,2395,4436,44535,6123,30608,1313,1813,5128.75,3324,4764,27353,5983
11599,10880,7108,3020,3058.5,20190,11143.25,7936.5,449.75,44080.5,16283,525,683,975,5773,5556,2286,4160.5,41181,5771,28587,1246,1619,4982.25,3141,4511,26182,5481
11848,10947,6996,2883,2853,19388,10715.5,7535.75,434,43332,15661,507,674,956,5776,5311.5,2196,3948.75,39155,6349,27257,1196,1518,4894.75,3047,4399,24990,5117
11352,10691,6990,2874,2740,18857,10485.25,7438.75,425.5,42943,15381,508,670,950,5638,5239.5,2164,3786.25,37946,6391,26327,1167,1462,4870.75,2999,4316,24156,4904
11038,10719,7014,2842,2645.5,18477,10331.25,7456,424,43132.25,15389,513,678,955,5581,5157.25,2161,3767,36423,6844,25986,1164,1447,4899,3024,4302,23732,4737
10712,10852,7256,2840,2611.5,18461,10325.75,7739.25,435,43504.75,15659,556,704,1019,5695,5307.25,2224,3860.5,35876,6676,26057,1193,1468,5061,3144,4372,23577,4650
11172,11188,7789,3043,2631.5,19701.5,10648.75,8001,461.5,46688,16344,656,801,1211,6159,5932,2376,4185.75,37575,6751,27475,1273,1567,5442.75,3424,4604,24121,4524
11854,12653,8156,3556,2708,23378,11562.5,8924.25,522.75,53982.75,18381,770,908,1377,7171,7013.25,2742,4704,41769,6237,31310,1567,1823,5997.75,3714,4987,26544,4520
12897,14014,8373,3975,2994,26907.5,12717.5,9719.75,572.25,58331.25,20206,872,1007,1507,7638,7591,2932,4847.5,45404,6293,35129,1655,2045,6389.75,4025,5410,29365,4808
13485,14592,8503,4173,3463,28372,13134.5,10105.75,609,60618.75,21162,910,1051,1553,7817,7711.25,3017,4685.75,47519,6941,39399,1646,2160,6494.75,4102,5750,30794,5201
13341,14530,8421,4229,3833.5,28858,12409.25,10550.75,641,61177.5,21185,899,1050,1520,8024,7611.75,3063,4476.5,49273,7276,40719,1614,2196,6448.25,4004,5883,32040,6039
13308,14296,8498,4353,3929.5,28264,11285,10754.25,656.25,62638.75,20835,890,1033,1497,8052,7550.5,2996,4346.5,50124,7220,40687,1592,2177,6360.5,4005,5933,32687,6424
12690,14432,8461,4350,3877,27989,10642.75,10934.25,673.5,63571,21180,868,1037,1475,8087,7569,3019,4275.75,51196,7295,40617,1608,2232,6324.75,3973,6002,32720,6573
12479,14377,8459,4305,3877.5,28097,10026.25,10726,667.5,63547.5,21271,890,1065,1467,8054,7335.25,3030,4325.75,52126,7516,39007,1588,2250,6449.75,4006,5939,33062,6743
12954,14372,8418,4366,3902.5,27785,9581,10558.5,657.75,62134.75,21322,875,1065,1430,8106,7343.75,3000,4368.25,51353,7083,39077,1545,2211,6364.25,3952,5724,33154,6662
13060,14452,8400,4316,3858.5,27412,9367.5,10524.5,643.25,61637.25,21141,858,1047,1395,7907,7441.25,2950,4518.25,50876,7148,40205,1505,2165,6320.25,3934,5464,32481,6522
13033,14377,8363,4208,3805,27716.5,10098.25,10366,630.75,60637.75,21090,838,1000,1369,7928,7606.75,2901,4624.5,49968,7244,40644,1499,2121,6344.5,3939,5352,31596,6598
13155,14325,8326,4164,3822,28734.5,11296.25,10303.75,620.75,59919.25,20990,810,971,1366,7786,7659.5,2895,4802,48654,7108,41350,1495,2128,6342,3900,5406,31169,6571
13073,14456,8291,4361,3874.5,30085.5,12637.25,10396.25,617,59598.75,20968,809,954,1376,7435,7818,2881,4965.5,47893,7102,40715,1565,2137,6367.5,4020,5605,30878,6559
12948,14282,8380,4219,3990.5,30704,13152.5,10326,625.5,59389.75,20956,807,934,1398,7370,7862.75,2923,5118.25,48768,7056,39682,1617,2162,6580,4186,5860,30308,6439
13070,14453,8591,3964,3991,30928.5,13404.25,10020,626.25,59733.25,22097,830,941,1444,7584,7844.25,3074,5394.75,49389,7163,40690,1745,2337,6996.75,4283,6218,30265,6396
13029,14176,8204,3836,3860.5,30388.5,13473.5,9852.25,606,58815,22053,782,895,1367,7409,7353.75,3015,5303.75,48356,7136,40376,1714,2385,6671.5,4055,5844,31417,6658
12856,13156,8123,3604,3924,27813,12923.75,9381.25,557.25,54489.25,20349,704,821,1228,6926,6651,2759,4949,46041,6900,37357,1589,2216,6001.25,3771,5328,31319,6887
12271,12539,7778,3384,3806.5,24864.5,12265.75,9016.25,517,50349.25,18641,627,739,1098,6536,6375,2557,4664.75,45337,6482,34032,1450,2066,5498.75,3660,5061,28406,6455
11825,11861,7351,3172,3469,22175,11731,8543.5,482,46869,17147,565,697,1024,6143,5878.5,2435,4502,44682,6365,31430,1355,1836,5174.75,3364,4781,26239,5894
11540,11432,7134,3012,3111.5,20334.5,11118,8088.75,462.5,44581.5,16121,542,676,973,5850,5630.25,2324,4192.5,41272,6244,29067,1257,1636,5033.75,3177,4527,24982,5463
11114,11406,7015,2959,2873.5,19676,10657,7831.75,447.5,42728.25,15672,523,658,952,5828,5325.75,2257,3989,39603,6677,27785,1228,1523,4916.5,3097,4386,23953,5127
10952,11405,6964,2878,2760,19172.5,10360.75,7622,437.5,41961.25,15351,516,655,949,5688,5200.75,2190,3839.5,38369,6708,27018,1175,1462,4905.25,3048,4281,23156,4878
10965,11342,7004,2825,2685,18822,10233,7533.75,436,42102,15350,525,662,957,5610,5157.5,2199,3817.25,36444,6721,26854,1199,1443,4947,3053,4236,22725,4723
