Load_NO,Load_SE,Load_FI,Load_DK,Load_IE,Load_UK,Load_NL,Load_BE,Load_LU,Load_DE,Load_PL,Load_LV,Load_EE,Load_LT,Load_CZ,Load_AT,Load_SK,Load_HU,Load_FR,Load_CH,Load_IT,Load_SI,Load_HR,Load_RO,Load_BG,Load_GR,Load_ES,Load_PT
11070,11195,7677,3357,2877.5,21289,8939,8303,506.25,48660,18167,748,780,1436,5940,6124.75,2785,4513.5,38790,7306,34494,1510,2247,6581.25,4075,6130,24111,4620
11302,11379,7801,3547,3189,22361.5,8519.75,8736.25,535.5,51332.75,18974,777,787,1508,6253,6307.25,2938,4624,41461,7760,36393,1476,2375,6821.75,4137,6513,25952,4993
11757,11427,8023,3724,3438,22453,7900,8983.75,558.75,53485.25,19279,795,804,1526,6572,6408.75,3013,4716.25,42908,8089,36889,1478,2454,6931.25,4204,6786,27529,5289
11965,11699,8098,3894,3578,22160.5,7349,9135.5,569,54426.25,19423,796,779,1509,6688,6467.75,3089,4755.25,43994,8403,36961,1492,2533,6955.25,4230,7057,28047,5427
11857,12080,8104,3857,3609,21493.5,7505.5,9035,569.75,53214.25,19252,794,762,1488,6566,6216.25,3036,4747.5,46075,8445,36689,1473,2620,6995.5,4196,7230,28419,5556
11833,12169,8042,3869,3610.5,20762.5,7839.5,8759.75,557.25,51478.25,19017,791,747,1485,6492,6057.5,3013,4695.75,44925,8339,36341,1407,2614,6912.25,4139,7179,28712,5627
11936,12315,7981,3723,3552.5,20436,7754.25,8464.75,549.5,50065.25,18622,782,770,1456,6339,5902,2925,4731.25,43574,8275,36294,1390,2581,6851.25,4096,7027,28534,5461
11808,12094,8034,3647,3475.375,20228,7894.25,8452.5,539.25,49444,18391,775,845,1427,6223,5873.5,2867,4857.5,42713,8255,36258,1355,2550,6943.5,4096,6954,27656,5376
11697,12164,8112,3657,3431.5,21401,8536,8376.75,531.75,49166.75,18133,773,845,1391,6127,5907,2859,4999.25,41868,8212,36735,1357,2532,6896.5,4168,6924,27155,5286
11838,12289,8107,3734,3436,23036.5,9313.25,8537,535.25,49456.75,17976,761,889,1351,5910,6008.25,2824,5099.5,41715,8112,37828,1359,2540,6884.5,4198,6925,26937,5250
12017,12548,8040,3723,3563.5,23947,10076.25,8603,539.5,48798.75,18012,737,857,1329,5787,5971.5,2836,5214.75,42488,8175,38484,1443,2531,6808.5,4198,6911,26993,5303
11784,12548,7963,3539,3602,24181,10773,8444.75,537.5,48099.5,17963,713,834,1310,5690,5982.75,2819,5272.5,42703,6963,38915,1466,2524,6781.75,4118,6789,27387,5405
11669,12291,7689,3365,3511,24082.5,11286.25,8192,519.25,46743.75,17836,688,791,1294,5574,5914.25,2803,5225.75,41276,5901,38019,1472,2490,6874.75,4089,6805,27613,5506
11518,12056,7863,3192,3388,23473,11508.25,8038.5,500.25,44980.75,17770,660,736,1264,5589,5820.75,2783,5242.25,40186,5749,37435,1449,2524,6711.25,4052,6558,27771,5627
11252,11816,7777,3127,3255,22701,11607.25,8062.5,497.25,44844.5,17390,642,709,1202,5540,5758,2691,4960,42314,5761,35752,1410,2476,6243.5,3814,6244,27369,5699
11066,11228,7408,3009,3183.5,21026.5,11413.75,8026.75,473.5,43099.75,16228,599,663,1116,5250,5334.75,2538,4628,43031,5864,33341,1342,2239,5763,3523,6041,25893,5542
10621,10310,7102,2846,3035.5,19581,10995.25,7683,443.5,40571,15241,570,631,1053,4929,5065.75,2445,4307.75,40056,5972,30621,1174,1981,5482.75,3283,5638,24307,5168
10760,10048,6971,2738,2844.375,18732,10550.75,7465.25,426,38901,14489,551,619,1017,4779,4774.75,2311,4092.25,37820,6664,28735,1126,1814,5289.75,3183,5325,23013,4846
10677,9939,6806,2639,2734.5,17911.5,10245.25,7237.5,414.25,37899.25,14080,538,601,1000,4730,4670,2275,3957.75,36099,6995,27494,1088,1710,5175,3108,5171,21798,4582
10545,9876,6708,2584,2641,17436,10033,7150.5,410.75,37335.5,13753,516,570,981,4711,4512.25,2258,3886,33790,7187,26779,1066,1655,5089,3072,5016,21064,4409
10379,9859,6646,2525,2548,16615,9878.25,7026.75,410.75,36950.75,13323,516,575,975,4613,4462.25,2229,3824,32690,7260,26336,1054,1629,4950.75,3065,4903,20686,4315
10279,9629,6828,2534,2513,16277,9614.75,6941.25,405.75,36442.75,13036,539,642,1013,4474,4493.5,2218,3755,32155,7084,25592,1055,1565,4967.25,3138,4740,20606,4264
10039,9750,7024,2656,2481,16906.5,9187,6997.5,411,37347.75,13477,583,699,1066,4702,4675,2317,3859,31921,6961,25288,1095,1660,5202,3334,4938,20565,4222
10482,10378,7227,2893,2511.5,17817.5,8663,7199.25,429.5,39530,14377,642,766,1144,5086,4925,2463,3974,32967,6912,26776,1125,1811,5438.75,3614,5268,20481,4107
10784,10929,7436,3189,2654.5,18977.5,8244.25,7716.5,454.75,42951.75,15324,692,829,1233,5519,5230.25,2667,4138.75,35233,7020,28588,1195,2000,5674.75,3852,5602,21370,4179
11006,11557,7663,3424,2892,20039.5,7984.25,8054.75,481.5,46243,16075,719,877,1270,5905,5504.75,2883,4307.25,37877,7421,30208,1234,2191,5905.5,3957,5925,22814,4409
11110,11971,7860,3662,3134.5,21116.5,7620.25,8316,509,48258.75,16233,724,910,1283,6227,5676.5,2992,4429,40190,7533,31265,1262,2350,6016.25,4041,6209,24311,4698
11277,12102,7900,3799,3308,21521.5,7508.25,8535.25,527,48995.25,16381,717,876,1291,6403,5817,3031,4505.25,41823,8071,32125,1303,2495,6129.25,4089,6432,25132,4955
11605,12260,7916,3770,3388.5,21962.5,7712.5,8587.75,536.25,49070.25,16213,713,835,1311,6265,5655.75,2939,4554,43898,8161,33027,1345,2556,6160.75,4061,6537,25797,5108
11586,12353,7889,3822,3452.5,21801.5,7731,8448.25,515,47735,16164,708,834,1321,6179,5477.5,2857,4564.25,42467,7894,33087,1284,2548,6142,4031,6443,26476,5234
11431,12509,7860,3785,3456.5,21257.5,7649.75,8117.5,501.5,46511,16264,708,835,1325,6078,5334.75,2837,4662.25,40667,7974,33049,1269,2488,6165.75,4018,6283,26746,5024
11545,12355,7936,3713,3373.5,21154,7843.75,7877.25,489,46117,16149,710,829,1300,6075,5352.75,2794,4790,39658,7860,33232,1226,2442,6240.75,4098,6197,25949,4848
11723,12515,7965,3756,3328.5,21862.5,8130.75,7928.75,485.75,46386.5,16176,715,841,1294,6047,5451,2812,4991,39111,7909,33689,1211,2428,6286.75,4159,6201,25489,4838
11715,12682,7880,3880,3325,23469.5,8897.75,8025,494.5,47388.5,16570,716,857,1290,5928,5682.25,2831,5155.25,39758,8003,34646,1266,2441,6333.75,4192,6285,25254,4794
