HydroPS_inflow_NO,HydroPS_inflow_SE,HydroPS_inflow_FI,HydroPS_inflow_DK,HydroPS_inflow_IE,HydroPS_inflow_UK,HydroPS_inflow_NL,HydroPS_inflow_BE,HydroPS_inflow_LU,HydroPS_inflow_DE,HydroPS_inflow_PL,HydroPS_inflow_LV,HydroPS_inflow_EE,HydroPS_inflow_LT,HydroPS_inflow_CZ,HydroPS_inflow_AT,HydroPS_inflow_SK,HydroPS_inflow_HU,HydroPS_inflow_FR,HydroPS_inflow_CH,HydroPS_inflow_IT,HydroPS_inflow_SI,HydroPS_inflow_HR,HydroPS_inflow_RO,HydroPS_inflow_BG,HydroPS_inflow_GR,HydroPS_inflow_ES,HydroPS_inflow_PT
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
863.6057769,0,0,0,0,0,0,0,0,7.345217587,1.162087273,0,0,0,7.044270455,1789.436158,5.871779343,0,0,624.8213598,413.0853313,0,77.60386331,158.9165071,62.93012323,75.07738095,55.53115786,0
